time,q,dq,tau,qd
1.960000000000001463e-01,3.440282852755941478e-01,-1.740927950586743878e+00,3.325843873403719897e-01,0.000000000000000000e+00
1.980000000000001481e-01,3.405811418041649330e-01,-1.723571735714619635e+00,3.306564271007204070e-01,0.000000000000000000e+00
2.000000000000001499e-01,3.371683888819810848e-01,-1.706376461091912100e+00,3.285522669121085926e-01,0.000000000000000000e+00
2.020000000000001517e-01,3.337897055861737128e-01,-1.689341647903675359e+00,3.262899195649069384e-01,0.000000000000000000e+00
2.040000000000001534e-01,3.304447721116741121e-01,-1.672466737249787228e+00,3.238860270626666704e-01,0.000000000000000000e+00
2.060000000000001552e-01,3.271332699177913472e-01,-1.655751096941382894e+00,3.213559576388185235e-01,0.000000000000000000e+00
2.080000000000001570e-01,3.238548818621590497e-01,-1.639194027816160526e+00,3.187138960858426628e-01,0.000000000000000000e+00
2.100000000000001588e-01,3.206092923229479918e-01,-1.622794769605526932e+00,3.159729278525915674e-01,0.000000000000000000e+00
2.120000000000001605e-01,3.173961873101793785e-01,-1.606552506384308687e+00,3.131451173345887184e-01,0.000000000000000000e+00
2.140000000000001623e-01,3.142152545669160135e-01,-1.590466371631672926e+00,3.102415807534875114e-01,0.000000000000000000e+00
2.160000000000001641e-01,3.110661836610560949e-01,-1.574535452929953117e+00,3.072725539947640527e-01,0.000000000000000000e+00
2.180000000000001659e-01,3.079486660684035426e-01,-1.558758796326266127e+00,3.042474557479728503e-01,0.000000000000000000e+00
2.200000000000001676e-01,3.048623952476433030e-01,-1.543135410380110706e+00,3.011749462703079416e-01,0.000000000000000000e+00
2.220000000000001694e-01,3.018070667078061597e-01,-1.527664269918564743e+00,2.980629820725440027e-01,0.000000000000000000e+00
2.240000000000001712e-01,2.987823780687677289e-01,-1.512344319519227653e+00,2.949188668062241447e-01,0.000000000000000000e+00
2.260000000000001730e-01,2.957880291152883423e-01,-1.497174476739683513e+00,2.917492986118688236e-01,0.000000000000000000e+00
2.280000000000001747e-01,2.928237218450663870e-01,-1.482153635110981638e+00,2.885604141703943526e-01,0.000000000000000000e+00
2.300000000000001765e-01,2.898891605112435266e-01,-1.467280666911443543e+00,2.853578296836154493e-01,0.000000000000000000e+00
2.320000000000001783e-01,2.869840516597715330e-01,-1.452554425735989696e+00,2.821466789941133868e-01,0.000000000000000000e+00
2.340000000000001801e-01,2.841081041620212577e-01,-1.437973748875148061e+00,2.789316490406683613e-01,0.000000000000000000e+00
